The Incredible Adventures of Van Helsing II,11.11
Gauntlet,9.84
Gunman Clive,1.07
Probably Archery,0.3
Gotham City Impostors,6.06
Nancy Drew Shadow at the Water's Edge,12.3
Airline Tycoon 2,6.2
BAD END,3.8
Battle of Empires  1914-1918,24.4
Guild Wars Game of the Year,15.65
Infested Planet,8.63
Uncharted Waters Online,181.0
ArcheAge,27.74
Nexuiz,0.5
City of Steam Arkadia,1.16
Fractured Space,2.52
Sid Meier's Ace Patrol,11.0
Jazzpunk,1.98
Sid Meier's Pirates!,7.06
Goat Simulator,7.1
Europa Universalis IV,195.18
METAL GEAR SOLID V GROUND ZEROES,7.23
Magicka 2,3.93
Devils Share,0.7
Ghost Master,5.33
Microsoft Flight,1.3
Hardland,1.7
APB Reloaded,66.94
Space Warp,0.1
Crusaders of the Lost Idols,88.41
Two Worlds Epic Edition,7.12
Qvadriga,22.0
Rust,73.79
DiRT Showdown,5.42
Impire,16.3
Bloodline Champions,12.1
Nether,7.69
X-Blades,2.66
Max and the Magic Marker,1.2
Coin Crypt,3.2
Star Wars Jedi Knight Jedi Academy,11.64
The Elder Scrolls III Morrowind,19.27
Arx Fatalis,12.46
APOX,0.4
FINAL FANTASY XIII-2,12.2
Wickland,1.27
Unmechanical,1.85
A.R.E.S.,2.89
Street Fighter IV,8.54
Take On Helicopters,7.51
Unium,0.8
Jamestown,1.19
Assetto Corsa,15.74
Deadpool,10.08
Shadow Man,0.3
Bionic Commando,1.2
The Jackbox Party Pack 2,14.3
Sid Meier's Civilization V,180.18
Prey,3.92
Lost Lands A Hidden Object Adventure,0.4
Hamilton's Great Adventure,2.25
Machinarium,4.32
MapleStory,30.66
Carpe Diem,0.27
Ricochet,1.01
Spelunky,11.14
Lumino City,7.4
Nuclear Dawn,8.46
Lego Star Wars 3 The Clone Wars,7.0
Diamond Dan,0.1
YOU DON'T KNOW JACK Vol. 1 XL,0.65
MASSIVE CHALICE,8.68
Dynomite! Deluxe,1.9
FootLOL Epic Fail League,2.53
Monster Loves You!,3.8
Guacamelee! Gold Edition,5.96
Tesla Effect,36.0
F.E.A.R. Online,2.88
Legend of Fae,0.3
Call of Duty Modern Warfare 3 - Multiplayer,105.12
Mortal Kombat Komplete Edition,20.37
RPG Tycoon,2.1
Showtime!,2.8
Dear Esther,1.04
Zombie Army Trilogy,4.4
McPixel,2.72
The Novelist,1.48
Space Pirates and Zombies,30.81
Weapons Genius,1.25
Arma 2 Operation Arrowhead Beta (Obsolete),6.57
Sam & Max 202 Moai Better Blues,8.1
Blackwell Convergence,0.3
Total War Battles SHOGUN,3.6
Nimble Quest,2.15
Floating Point,0.55
FRACT OSC,0.5
Mountain,25.68
Tomb Raider III Adventures of Lara Croft,0.5
Dragon Age Origins,60.86
Battle for Graxia,1.27
