Unreal Tournament 3 Black Edition,8.92
Unreal Tournament 2004,4.21
Unreal II The Awakening,0.7
Unreal Gold,1.91
Unmechanical,1.85
Universe at War Earth Assault,9.88
Universal Combat CE,0.2
Tomb Raider The Last Revelation,2.2
Tomb Raider Legend,2.03
Tomb Raider III Adventures of Lara Croft,0.5
Tomb Raider II,1.5
Why So Evil 2 Dystopia,5.77
Why So Evil,12.3
Who's That Flying?!,0.2
White Noise Online,4.5
Westward,4.2
Westerado Double Barreled,1.9
Warhammer 40000 Dawn of War  Winter Assault,4.35
Warhammer 40000 Dawn of War  Soulstorm,12.53
Warhammer 40000 Dawn of War  Dark Crusade,27.17
Warhammer 40000 Armageddon,10.1
Wargame Red Dragon,43.6
Wargame European Escalation,22.74
Wargame AirLand Battle,42.23
Warframe,63.86
Warface,12.62
Warehouse and Logistics Simulator,0.2
Voxelized,5.35
Vox,2.4
Volume,0.7
Volt,0.9
Volgarr the Viking,5.4
VoidExpanse,1.9
Void Destroyer,1.5
Voices from the Sea,0.87
Vlad the Impaler,4.5
Viscera Cleanup Detail Shadow Warrior,0.69
Viscera Cleanup Detail Santa's Rampage,4.56
Viscera Cleanup Detail,5.71
Virtual Villagers A New Home,4.3
Virtua Tennis 4,2.5
Viridi,3.03
Violett,0.4
Vintage Year,3.0
Vindictus,6.47
Villagers and Heroes,3.84
Viking Brothers,1.8
Viking Battle for Asgard,3.82
Vigil Blood Bitterness,0.1
Victory The Age of Racing,0.6
Victory Command,0.32
Victory At Sea,0.1
Victoria II,41.08
Victor Vran,51.75
Victim of Xen,3.25
Vessel,1.3
Vertiginous Golf,0.25
Vertical Drop Heroes HD,2.47
Verdun,10.13
Velvet Sundown,1.27
Velvet Assassin,1.75
VelocityUltra,1.3
Velocibox,0.9
Vanguard Princess,2.07
Undead Overlord,0.8
Uncrowded,4.71
Uncharted Waters Online Gran Atlas,63.45
Uncharted Waters Online,181.0
Ultratron,2.4
Ultra Street Fighter IV,36.51
Ultionus A Tale of Petty Revenge,0.6
Ultimate Tic-Tac-Toe,2.24
Ultimate General Gettysburg,8.58
Ubersoldier II,0.8560 Seconds!,1.86
500 Years Act 1,3.0
404Sight,0.53
4 Elements,14.85
3DMark Vantage,21.0
3DMark 11,3.0
3DMark,13.38
3D Mini Golf,1.0
3089 -- Futuristic Action RPG,0.3
3 Stars of Destiny,4.7
1Quest,2.7
1953 NATO vs Warsaw Pact,5.9
18 Wheels of Steel American Long Haul,5.8
1701 A.D. Sunken Dragon,0.6
16bit Trader,4.45
15 Days,0.5
140,1.26
12 Labours of Hercules III Girl Power,6.53
12 Labours of Hercules II The Cretan Bull,4.29
12 Labours of Hercules,4.96
10000000,3.6
1000 Amps,0.1
100% Orange Juice,8.7
10 Second Ninja,2.95
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),4.0
0RBITALIS,0.4
007 Legends,0.7
